Step, Time, RealTime, R(q[0]), R(q[1]), R(q[2]), R(q[3])
800, 0, 5.86013, 0.0123972, 0.00642944, 0.00456672, 0.00774821
810, 0, 5.94696, 0.0122436, 0.00564645, 0.00499192, 0.00743105
820, 0, 6.01163, 0.0125139, 0.00575129, 0.00476401, 0.0073531
830, 0, 6.09265, 0.0122768, 0.00495691, 0.00445123, 0.00776529
840, 0, 6.18866, 0.0127112, 0.00562435, 0.00389015, 0.00815175
850, 0, 6.30328, 0.0124209, 0.00669658, 0.00443145, 0.00755733
860, 0, 6.40249, 0.0120759, 0.00715806, 0.0048952, 0.00803202
870, 0, 6.49432, 0.012321, 0.00736583, 0.00466335, 0.00709596
880, 0, 6.5949, 0.0128293, 0.00788123, 0.00454118, 0.00672361
890, 0, 6.67247, 0.0129606, 0.00910194, 0.00426621, 0.00666676
900, 0, 6.75575, 0.0113921, 0.00755876, 0.00428179, 0.0063531
910, 0, 6.83776, 0.0104473, 0.00679963, 0.00400945, 0.00588417
920, 0, 6.90303, 0.00968543, 0.00626837, 0.0038645, 0.00555939
930, 0, 6.97993, 0.00855915, 0.00559672, 0.00345441, 0.00509996
940, 0, 7.06117, 0.00749545, 0.00460979, 0.00304622, 0.00467992
950, 0, 7.16439, 0.0067343, 0.00405431, 0.00283526, 0.00417851
960, 0, 7.25591, 0.00622511, 0.00404507, 0.00281678, 0.00363858
970, 0, 7.32376, 0.00571839, 0.00363879, 0.00284647, 0.00322648
980, 0, 7.39459, 0.00553934, 0.00339997, 0.00291078, 0.00340836
990, 0, 7.46999, 0.0056097, 0.00349549, 0.00280315, 0.00370342
1000, 0, 7.53221, 0.00577189, 0.00312639, 0.00282913, 0.00379769
1010, 0, 7.62798, 0.00575333, 0.00299974, 0.00287911, 0.00388504
1020, 0, 7.72234, 0.00636823, 0.00321413, 0.00271889, 0.00430981
1030, 0, 7.81667, 0.00707562, 0.00343684, 0.00232165, 0.00496719
1040, 0, 7.89437, 0.00819854, 0.00392591, 0.00245781, 0.00568642
1050, 0, 7.95834, 0.00872124, 0.00396357, 0.0027621, 0.00598836
1060, 0, 8.02296, 0.00935336, 0.00398627, 0.0031441, 0.00575705
1070, 0, 8.08802, 0.0101039, 0.00408694, 0.00366572, 0.00626921
1080, 0, 8.17891, 0.0109146, 0.00536651, 0.00409511, 0.00674339
1090, 0, 8.26118, 0.0128251, 0.00702267, 0.00469054, 0.00705803
1100, 0, 8.32152, 0.0140398, 0.00784875, 0.00481696, 0.00779331
1110, 0, 8.39089, 0.0155378, 0.00861848, 0.00556078, 0.00802803
1120, 0, 8.46279, 0.0155284, 0.0102287, 0.00548668, 0.00717672
1130, 0, 8.54478, 0.0154561, 0.0108928, 0.00507394, 0.00741051
1140, 0, 8.62617, 0.0135255, 0.00887404, 0.00474868, 0.00692405
1150, 0, 8.70997, 0.0119607, 0.00713374, 0.0042885, 0.00632205
1160, 0, 8.77669, 0.0110696, 0.00577392, 0.0040667, 0.00597668
1170, 0, 8.83755, 0.0098954, 0.00577159, 0.0041022, 0.00548659
1180, 0, 8.90303, 0.0087401, 0.00526396, 0.00347054, 0.00471239
1190, 0, 8.99596, 0.00734885, 0.00466851, 0.00289226, 0.00460595
1200, 0, 9.06428, 0.00651813, 0.00384138, 0.00258115, 0.00396564
1210, 0, 9.13254, 0.00617491, 0.00373566, 0.0025346, 0.00362818
1220, 0, 9.19801, 0.00554891, 0.0035427, 0.00218703, 0.00307117
1230, 0, 9.26031, 0.00519221, 0.00319519, 0.00208919, 0.00294278
1240, 0, 9.32529, 0.00501798, 0.00276949, 0.00184394, 0.00310298
1250, 0, 9.39151, 0.00484456, 0.00232772, 0.0016998, 0.00326476
1260, 0, 9.46964, 0.00515212, 0.00242696, 0.00169819, 0.00344559
1270, 0, 9.55878, 0.0057009, 0.00242067, 0.00184689, 0.00377181
1280, 0, 9.62327, 0.00618462, 0.00250256, 0.00187202, 0.00408097
1290, 0, 9.69992, 0.00671857, 0.00251664, 0.00181898, 0.0044775
1300, 0, 9.79638, 0.00714121, 0.0025639, 0.00180449, 0.00477147
1310, 0, 9.86407, 0.00781046, 0.00386459, 0.00228831, 0.0048371
1320, 0, 9.95814, 0.00753897, 0.00349305, 0.00248062, 0.00475582
1330, 0, 10.0524, 0.00958763, 0.00391223, 0.00266524, 0.00550831
1340, 0, 10.1275, 0.0089965, 0.005153, 0.00309393, 0.00526455
1350, 0, 10.1889, 0.0090867, 0.00539624, 0.00333482, 0.00435628
1360, 0, 10.2611, 0.00884371, 0.00571265, 0.00284649, 0.00392045
1370, 0, 10.3513, 0.00807734, 0.00606526, 0.00287405, 0.0035447
1380, 0, 10.4448, 0.00738156, 0.00457016, 0.00242094, 0.00363284
1390, 0, 10.5117, 0.0059748, 0.00437236, 0.00233623, 0.00386448
1400, 0, 10.5902, 0.00582698, 0.00377166, 0.00208141, 0.00310947
1410, 0, 10.6658, 0.00660091, 0.00406781, 0.00212705, 0.00303142
1420, 0, 10.7481, 0.00549434, 0.00301531, 0.0015833, 0.00298504
1430, 0, 10.8207, 0.00495225, 0.00268003, 0.00158155, 0.00320933
1440, 0, 10.8853, 0.0052512, 0.00243233, 0.00150727, 0.00295865
1450, 0, 10.9504, 0.00489933, 0.00202275, 0.00140792, 0.00270118
1460, 0, 11.0275, 0.00419289, 0.00182077, 0.00138143, 0.00237857
1470, 0, 11.114, 0.00352321, 0.00190706, 0.00132405, 0.00221248
1480, 0, 11.1762, 0.00330024, 0.00213647, 0.00143657, 0.00201648
1490, 0, 11.2401, 0.00299939, 0.00195924, 0.00120566, 0.00195218
1500, 0, 11.3025, 0.00302837, 0.00172954, 0.0010835, 0.00209779
1510, 0, 11.3635, 0.0032746, 0.0017916, 0.00107628, 0.00223764
1520, 0, 11.4302, 0.00328969, 0.00164586, 0.0010565, 0.0022317
1530, 0, 11.4981, 0.00387749, 0.00182593, 0.00113171, 0.00229692
1540, 0, 11.5859, 0.00404504, 0.00253818, 0.00125778, 0.00229863
1550, 0, 11.67, 0.00384413, 0.00199656, 0.00107926, 0.0023728
1560, 0, 11.7626, 0.00402207, 0.00174028, 0.00116104, 0.00243732
1570, 0, 11.8609, 0.00397455, 0.00204614, 0.00117578, 0.00232959
1580, 0, 11.9581, 0.00392635, 0.00183016, 0.00117738, 0.00225834
1590, 0, 12.0604, 0.00479545, 0.00286286, 0.00166095, 0.00212683
1600, 0, 12.1549, 0.00401468, 0.00236978, 0.00145417, 0.00205656
1610, 0, 12.2458, 0.00394378, 0.00240955, 0.00132273, 0.00202796
1620, 0, 12.3111, 0.00398553, 0.00260653, 0.0013005, 0.00198526
1630, 0, 12.3753, 0.00545464, 0.00229709, 0.00158342, 0.0027674
1640, 0, 12.4395, 0.00386696, 0.00245938, 0.00119087, 0.00186304
1650, 0, 12.5031, 0.0036246, 0.00212233, 0.00108002, 0.00181873
1660, 0, 12.573, 0.00394805, 0.00254666, 0.00125712, 0.00183644
1670, 0, 12.6352, 0.00378498, 0.00231137, 0.00115797, 0.00157856
1680, 0, 12.7179, 0.00389537, 0.00243911, 0.00141208, 0.00162324
1690, 0, 12.8066, 0.00352333, 0.0023282, 0.00143187, 0.0018609
1700, 0, 12.8968, 0.00357158, 0.00259715, 0.00151859, 0.00161874
1710, 0, 12.9738, 0.0033983, 0.00255004, 0.00135761, 0.00182553
1720, 0, 13.0386, 0.00337394, 0.00258271, 0.00134454, 0.00167
1730, 0, 13.1096, 0.00340392, 0.00235981, 0.00136491, 0.00175529
1740, 0, 13.1747, 0.00484954, 0.00377758, 0.00215712, 0.00236548
1750, 0, 13.2359, 0.00392697, 0.00320186, 0.001777, 0.00196182
1760, 0, 13.3069, 0.0037322, 0.0024689, 0.00169279, 0.00174867
1770, 0, 13.3774, 0.00450897, 0.00327902, 0.00191753, 0.00172341
1780, 0, 13.463, 0.0037056, 0.00260154, 0.0018536, 0.00145332
1790, 0, 13.5274, 0.00362663, 0.00284528, 0.00166846, 0.00132221
1800, 0, 13.6047, 0.00399173, 0.00314622, 0.00148955, 0.00110514
1810, 0, 13.6775, 0.00283826, 0.00237608, 0.00111286, 0.000974873
1820, 0, 13.7456, 0.00220946, 0.00167384, 0.000801372, 0.000895761
1830, 0, 13.8113, 0.00184478, 0.00135072, 0.000668445, 0.000903464
1840, 0, 13.8875, 0.00181617, 0.00107986, 0.000603227, 0.000978369
1850, 0, 13.9676, 0.00194194, 0.000959471, 0.0005851, 0.00113321
1860, 0, 14.0308, 0.00219974, 0.000935861, 0.000644597, 0.00140946
1870, 0, 14.0944, 0.00326294, 0.00110316, 0.000741921, 0.00166334
1880, 0, 14.159, 0.00404045, 0.00222011, 0.00138151, 0.0018317
1890, 0, 14.2487, 0.00386268, 0.00227106, 0.00118829, 0.00188727
1900, 0, 14.309, 0.00392911, 0.00243124, 0.00123529, 0.00191788
1910, 0, 14.3876, 0.00540049, 0.00331614, 0.00156124, 0.0020031
1920, 0, 14.4604, 0.00425227, 0.00260246, 0.0013075, 0.00194027
1930, 0, 14.548, 0.0040389, 0.00208346, 0.00125782, 0.00216051
1940, 0, 14.6327, 0.00382416, 0.00238446, 0.001272, 0.00183847
1950, 0, 14.7278, 0.00360149, 0.00185206, 0.00117686, 0.00180794
1960, 0, 14.8035, 0.00380256, 0.0023523, 0.00136978, 0.00188027
1970, 0, 14.8682, 0.00337266, 0.00228997, 0.00130354, 0.00171338
1980, 0, 14.9429, 0.00327586, 0.00201053, 0.00122905, 0.0015485
1990, 0, 15.0226, 0.00490151, 0.00339335, 0.00171696, 0.00217103
2000, 0, 15.1179, 0.00357239, 0.00259318, 0.00142159, 0.001635
2010, 0, 15.2121, 0.00340214, 0.00247972, 0.00131259, 0.00192173
2020, 0, 15.3061, 0.00366288, 0.0025052, 0.00122934, 0.00177621
2030, 0, 15.3835, 0.00307073, 0.00199021, 0.000892993, 0.00150157
2040, 0, 15.4638, 0.00243383, 0.00144339, 0.000722388, 0.0014217
2050, 0, 15.5266, 0.00222358, 0.00141893, 0.000788847, 0.00140106
