Step, Time, RealTime, R(q[0]), R(q[1]), R(q[2]), R(q[3]), R(q[4])
5400, 1.17911, 16.775, 0.00760726, 0.00203997, 7.57476e-05, 0.00426252, 5.88646e-07
5420, 1.18348, 16.8394, 0.00757621, 0.00203132, 7.54318e-05, 0.00424309, 5.84703e-07
5440, 1.18785, 16.905, 0.00754537, 0.00202273, 7.51052e-05, 0.0042238, 5.80912e-07
5460, 1.19221, 16.9697, 0.00751485, 0.00201421, 7.47655e-05, 0.0042047, 5.7727e-07
5480, 1.19658, 17.0305, 0.00748461, 0.00200575, 7.44091e-05, 0.00418578, 5.73761e-07
5500, 1.20095, 17.0933, 0.00745463, 0.00199735, 7.40571e-05, 0.00416701, 5.70375e-07
5520, 1.20531, 17.1572, 0.00742482, 0.00198902, 7.37112e-05, 0.00414835, 5.6711e-07
5540, 1.20968, 17.2229, 0.00739525, 0.00198075, 7.33688e-05, 0.00412984, 5.63964e-07
5560, 1.21405, 17.2893, 0.00736583, 0.00197253, 7.30382e-05, 0.00411146, 5.6092e-07
5580, 1.21842, 17.3534, 0.00733656, 0.00196438, 7.27148e-05, 0.00409317, 5.5795e-07
5600, 1.22278, 17.4107, 0.00730748, 0.00195629, 7.24037e-05, 0.00407503, 5.55053e-07
5620, 1.22715, 17.4627, 0.0072787, 0.00194826, 7.21111e-05, 0.00405709, 5.52238e-07
5640, 1.23152, 17.5303, 0.00725009, 0.00194028, 7.18159e-05, 0.00403928, 5.49486e-07
5660, 1.23588, 17.5953, 0.00722169, 0.00193237, 7.15119e-05, 0.00402159, 5.46783e-07
5680, 1.24025, 17.6594, 0.00719355, 0.00192451, 7.12107e-05, 0.00400407, 5.44151e-07
5700, 1.24462, 17.7233, 0.00716567, 0.0019167, 7.09072e-05, 0.00398671, 5.41602e-07
5720, 1.24899, 17.7892, 0.00713803, 0.00190896, 7.06014e-05, 0.00396948, 5.39115e-07
5740, 1.25335, 17.8512, 0.00711057, 0.00190126, 7.02857e-05, 0.00395236, 5.36679e-07
5760, 1.25772, 17.9133, 0.0070833, 0.00189363, 6.99652e-05, 0.00393533, 5.34276e-07
5780, 1.26209, 17.9774, 0.00705618, 0.00188604, 6.96561e-05, 0.00391841, 5.31903e-07
5800, 1.26645, 18.0417, 0.00702926, 0.00187851, 6.93702e-05, 0.00390161, 5.29558e-07
5820, 1.27082, 18.1065, 0.00700247, 0.00187104, 6.90926e-05, 0.0038849, 5.27243e-07
5840, 1.27519, 18.1705, 0.00697588, 0.00186361, 6.88141e-05, 0.00386834, 5.24967e-07
5860, 1.27956, 18.2297, 0.00694954, 0.00185624, 6.85362e-05, 0.00385193, 5.22725e-07
5880, 1.28392, 18.2782, 0.00692335, 0.00184892, 6.82666e-05, 0.00383563, 5.2052e-07
5900, 1.28829, 18.3367, 0.00689735, 0.00184165, 6.79842e-05, 0.00381944, 5.18363e-07
5920, 1.29266, 18.3993, 0.00687161, 0.00183443, 6.7687e-05, 0.0038034, 5.16257e-07
5940, 1.29702, 18.4642, 0.0068461, 0.00182726, 6.73868e-05, 0.00378751, 5.14178e-07
5960, 1.30139, 18.5281, 0.00682069, 0.00182014, 6.70878e-05, 0.00377168, 5.12115e-07
5980, 1.30576, 18.5936, 0.00679545, 0.00181306, 6.68019e-05, 0.00375593, 5.10089e-07
6000, 1.31013, 18.6584, 0.00677039, 0.00180604, 6.65219e-05, 0.00374033, 5.08103e-07
6020, 1.31449, 18.7247, 0.00674548, 0.00179907, 6.62458e-05, 0.00372482, 5.06133e-07
6040, 1.31886, 18.7904, 0.00672066, 0.00179214, 6.59938e-05, 0.00370937, 5.04182e-07
6060, 1.32323, 18.8473, 0.00669603, 0.00178526, 6.5742e-05, 0.00369404, 5.0227e-07
6080, 1.32759, 18.9113, 0.00667159, 0.00177842, 6.54736e-05, 0.00367885, 5.00384e-07
6100, 1.33196, 18.9757, 0.00664738, 0.00177163, 6.52107e-05, 0.00366379, 4.98523e-07
6120, 1.33633, 19.0412, 0.00662332, 0.00176489, 6.49448e-05, 0.00364884, 4.96683e-07
6140, 1.3407, 19.1035, 0.00659941, 0.00175819, 6.46681e-05, 0.00363398, 4.94858e-07
6160, 1.34506, 19.1613, 0.00657568, 0.00175154, 6.43999e-05, 0.00361925, 4.93059e-07
6180, 1.34943, 19.2286, 0.00655216, 0.00174493, 6.41334e-05, 0.00360464, 4.91282e-07
6200, 1.3538, 19.2938, 0.0065287, 0.00173836, 6.3873e-05, 0.00359007, 4.89525e-07
6220, 1.35817, 19.3589, 0.00650537, 0.00173184, 6.36213e-05, 0.00357558, 4.87801e-07
6240, 1.36253, 19.4181, 0.00648221, 0.00172536, 6.33619e-05, 0.0035612, 4.86101e-07
6260, 1.3669, 19.4669, 0.0064592, 0.00171893, 6.31111e-05, 0.00354692, 4.84425e-07
6280, 1.37127, 19.5284, 0.00643632, 0.00171253, 6.28795e-05, 0.00353273, 4.82785e-07
6300, 1.37563, 19.593, 0.00641367, 0.00170618, 6.26389e-05, 0.0035187, 4.81172e-07
6320, 1.38, 19.6581, 0.00639116, 0.00169987, 6.24021e-05, 0.00350478, 4.79562e-07
6340, 1.38437, 19.7244, 0.00636877, 0.0016936, 6.217e-05, 0.00349091, 4.77956e-07
6360, 1.38874, 19.7915, 0.00634653, 0.00168737, 6.19304e-05, 0.00347713, 4.76361e-07
6380, 1.3931, 19.8509, 0.00632449, 0.00168118, 6.16898e-05, 0.00346346, 4.74789e-07
6400, 1.39747, 19.9163, 0.00630257, 0.00167503, 6.14507e-05, 0.00344987, 4.73233e-07
6420, 1.40184, 19.9838, 0.00628075, 0.00166892, 6.11962e-05, 0.00343634, 4.71682e-07
6440, 1.4062, 20.0488, 0.00625911, 0.00166285, 6.09571e-05, 0.00342291, 4.70146e-07
6460, 1.41057, 20.1144, 0.00623759, 0.00165682, 6.07218e-05, 0.00340958, 4.6863e-07
6480, 1.41494, 20.1765, 0.00621619, 0.00165082, 6.0485e-05, 0.00339632, 4.67121e-07
6500, 1.41931, 20.2379, 0.00619494, 0.00164487, 6.02658e-05, 0.00338316, 4.65631e-07
6520, 1.42367, 20.303, 0.00617383, 0.00163895, 6.00468e-05, 0.00337008, 4.64163e-07
6540, 1.42804, 20.359, 0.00615284, 0.00163307, 5.98129e-05, 0.00335708, 4.62708e-07
6560, 1.43241, 20.4256, 0.00613201, 0.00162722, 5.95867e-05, 0.00334418, 4.61271e-07
6580, 1.43678, 20.4894, 0.00611132, 0.00162141, 5.93638e-05, 0.00333136, 4.59864e-07
6600, 1.44114, 20.5538, 0.00609077, 0.00161564, 5.913e-05, 0.00331864, 4.58479e-07
6620, 1.44551, 20.6133, 0.00607036, 0.00160991, 5.89058e-05, 0.00330601, 4.57116e-07
6640, 1.44988, 20.6677, 0.00605007, 0.00160421, 5.86917e-05, 0.00329347, 4.55765e-07
6660, 1.45424, 20.7335, 0.00602987, 0.00159854, 5.84791e-05, 0.00328098, 4.54421e-07
6680, 1.45861, 20.8031, 0.00600981, 0.00159291, 5.82766e-05, 0.00326857, 4.53099e-07
6700, 1.46298, 20.863, 0.00598988, 0.00158732, 5.80744e-05, 0.00325624, 4.51796e-07
6720, 1.46735, 20.927, 0.00597009, 0.00158176, 5.78718e-05, 0.00324401, 4.50506e-07
6740, 1.47171, 20.9929, 0.00595045, 0.00157623, 5.76782e-05, 0.00323186, 4.49227e-07
6760, 1.47608, 21.0605, 0.00593095, 0.00157074, 5.74761e-05, 0.00321978, 4.47954e-07
6780, 1.48045, 21.1257, 0.00591153, 0.00156528, 5.72687e-05, 0.00320779, 4.4668e-07
6800, 1.48482, 21.1911, 0.00589224, 0.00155985, 5.70676e-05, 0.00319586, 4.45408e-07
6820, 1.48918, 21.2464, 0.00587308, 0.00155446, 5.68655e-05, 0.00318403, 4.44143e-07
6840, 1.49355, 21.3093, 0.00585402, 0.0015491, 5.66667e-05, 0.00317225, 4.42889e-07
6860, 1.49792, 21.3708, 0.00583502, 0.00154377, 5.6469e-05, 0.0031605, 4.41646e-07
6880, 1.50228, 21.4317, 0.00581611, 0.00153847, 5.62671e-05, 0.00314883, 4.40415e-07
6900, 1.50665, 21.4927, 0.00579733, 0.00153321, 5.60683e-05, 0.00313724, 4.392e-07
6920, 1.51102, 21.5583, 0.00577866, 0.00152798, 5.58698e-05, 0.00312572, 4.38001e-07
6940, 1.51539, 21.6183, 0.00576012, 0.00152277, 5.56673e-05, 0.00311429, 4.3681e-07
6960, 1.51975, 21.681, 0.00574172, 0.0015176, 5.54728e-05, 0.00310296, 4.35628e-07
6980, 1.52412, 21.7452, 0.00572342, 0.00151246, 5.52856e-05, 0.00309169, 4.34462e-07
7000, 1.52849, 21.8135, 0.00570524, 0.00150735, 5.50966e-05, 0.0030805, 4.33308e-07
7020, 1.53285, 21.8792, 0.00568719, 0.00150227, 5.49126e-05, 0.00306939, 4.32157e-07
7040, 1.53722, 21.9447, 0.00566921, 0.00149722, 5.47317e-05, 0.00305831, 4.31011e-07
7060, 1.54159, 22.0094, 0.00565133, 0.0014922, 5.45449e-05, 0.00304729, 4.29871e-07
7080, 1.54596, 22.0652, 0.00563357, 0.00148721, 5.43548e-05, 0.00303634, 4.28731e-07
7100, 1.55032, 22.1274, 0.0056159, 0.00148225, 5.41709e-05, 0.00302545, 4.27599e-07
7120, 1.55469, 22.1917, 0.00559833, 0.00147731, 5.39862e-05, 0.00301463, 4.2647e-07
7140, 1.55906, 22.2585, 0.00558088, 0.00147241, 5.37995e-05, 0.00300388, 4.25341e-07
7160, 1.56343, 22.3214, 0.00556352, 0.00146753, 5.36192e-05, 0.00299321, 4.24214e-07
7180, 1.56779, 22.3823, 0.00554627, 0.00146268, 5.34461e-05, 0.0029826, 4.23098e-07
7200, 1.57216, 22.4442, 0.00552912, 0.00145786, 5.32709e-05, 0.00297206, 4.21986e-07
7220, 1.57653, 22.5078, 0.0055121, 0.00145307, 5.30917e-05, 0.0029616, 4.20876e-07
7240, 1.58089, 22.5725, 0.00549518, 0.00144831, 5.29126e-05, 0.0029512, 4.19762e-07
7260, 1.58526, 22.6386, 0.00547833, 0.00144357, 5.2731e-05, 0.00294083, 4.18641e-07
7280, 1.58963, 22.7068, 0.00546158, 0.00143886, 5.25489e-05, 0.00293052, 4.17519e-07
7300, 1.594, 22.7697, 0.00544495, 0.00143417, 5.23687e-05, 0.00292028, 4.16395e-07
7320, 1.59836, 22.829, 0.0054284, 0.00142951, 5.21901e-05, 0.0029101, 4.15272e-07
7340, 1.60273, 22.896, 0.00541192, 0.00142488, 5.20165e-05, 0.00289997, 4.1415e-07
7360, 1.6071, 22.9576, 0.00539555, 0.00142028, 5.18515e-05, 0.00288991, 4.13038e-07
7380, 1.61147, 23.0211, 0.00537927, 0.0014157, 5.1685e-05, 0.00287991, 4.11937e-07
7400, 1.61583, 23.091, 0.00536308, 0.00141114, 5.15168e-05, 0.00286996, 4.10839e-07
7420, 1.6202, 23.1646, 0.00534698, 0.00140661, 5.13497e-05, 0.00286008, 4.09744e-07
7440, 1.62457, 23.2357, 0.00533101, 0.00140211, 5.11822e-05, 0.00285026, 4.0865e-07
7460, 1.62893, 23.3055, 0.00531512, 0.00139763, 5.10081e-05, 0.0028405, 4.0755e-07
7480, 1.6333, 23.3715, 0.00529934, 0.00139318, 5.08347e-05, 0.0028308, 4.06445e-07
7500, 1.63767, 23.4383, 0.00528365, 0.00138875, 5.06619e-05, 0.00282116, 4.05336e-07
7520, 1.64204, 23.5036, 0.00526803, 0.00138435, 5.04927e-05, 0.00281156, 4.04225e-07
7540, 1.6464, 23.5687, 0.00525249, 0.00137996, 5.03265e-05, 0.00280201, 4.03115e-07
7560, 1.65077, 23.6413, 0.00523703, 0.00137561, 5.01614e-05, 0.00279251, 4.02009e-07
7580, 1.65514, 23.7082, 0.00522163, 0.00137128, 4.99997e-05, 0.00278304, 4.00908e-07
7600, 1.65951, 23.7743, 0.00520631, 0.00136697, 4.98401e-05, 0.00277363, 3.99818e-07
7620, 1.66387, 23.839, 0.00519108, 0.00136268, 4.96765e-05, 0.00276428, 3.98735e-07
7640, 1.66824, 23.9089, 0.00517596, 0.00135842, 4.9512e-05, 0.00275499, 3.9766e-07
7660, 1.67261, 23.974, 0.00516095, 0.00135418, 4.93474e-05, 0.00274577, 3.96592e-07
7680, 1.67698, 24.0402, 0.005146, 0.00134996, 4.91795e-05, 0.0027366, 3.95524e-07
7700, 1.68134, 24.1055, 0.00513114, 0.00134577, 4.90127e-05, 0.00272748, 3.94459e-07
7720, 1.68571, 24.1705, 0.00511632, 0.0013416, 4.8849e-05, 0.0027184, 3.93403e-07
7740, 1.69008, 24.2379, 0.00510159, 0.00133745, 4.86859e-05, 0.00270938, 3.92354e-07
7760, 1.69444, 24.3056, 0.00508692, 0.00133333, 4.85251e-05, 0.00270039, 3.9131e-07
7780, 1.69881, 24.3689, 0.00507233, 0.00132922, 4.83712e-05, 0.00269145, 3.90277e-07
7800, 1.70318, 24.4341, 0.00505782, 0.00132514, 4.82143e-05, 0.00268258, 3.89256e-07
7820, 1.70755, 24.4987, 0.00504342, 0.00132108, 4.80577e-05, 0.00267376, 3.88243e-07
7840, 1.71191, 24.5633, 0.00502909, 0.00131704, 4.79041e-05, 0.00266499, 3.87239e-07
7860, 1.71628, 24.6273, 0.00501482, 0.00131302, 4.77478e-05, 0.00265626, 3.86242e-07
7880, 1.72065, 24.6942, 0.00500065, 0.00130903, 4.75907e-05, 0.00264758, 3.85253e-07
7900, 1.72502, 24.7617, 0.00498657, 0.00130505, 4.7434e-05, 0.00263897, 3.84271e-07
7920, 1.72938, 24.8283, 0.00497255, 0.0013011, 4.7277e-05, 0.00263039, 3.83289e-07
7940, 1.73375, 24.8948, 0.00495859, 0.00129716, 4.7121e-05, 0.00262183, 3.82311e-07
7960, 1.73812, 24.963, 0.00494471, 0.00129325, 4.69655e-05, 0.00261334, 3.81341e-07
7980, 1.74249, 25.0301, 0.0049309, 0.00128936, 4.68098e-05, 0.00260489, 3.8038e-07
8000, 1.74685, 25.0922, 0.00491715, 0.00128548, 4.66567e-05, 0.00259647, 3.79427e-07
8020, 1.75122, 25.1517, 0.00490347, 0.00128163, 4.65064e-05, 0.00258811, 3.78486e-07
8040, 1.75559, 25.215, 0.00488988, 0.0012778, 4.63555e-05, 0.0025798, 3.77557e-07
8060, 1.75995, 25.2805, 0.00487635, 0.00127399, 4.62065e-05, 0.00257153, 3.76639e-07
8080, 1.76432, 25.3457, 0.00486289, 0.00127019, 4.60614e-05, 0.0025633, 3.75739e-07
8100, 1.76869, 25.4065, 0.00484952, 0.00126642, 4.59147e-05, 0.00255512, 3.74854e-07
8120, 1.77306, 25.4726, 0.00483622, 0.00126266, 4.57676e-05, 0.00254699, 3.73985e-07
8140, 1.77742, 25.5278, 0.004823, 0.00125893, 4.56213e-05, 0.00253891, 3.73131e-07
8160, 1.78179, 25.594, 0.00480984, 0.00125521, 4.5475e-05, 0.00253086, 3.72283e-07
8180, 1.78616, 25.6619, 0.00479674, 0.00125152, 4.53285e-05, 0.00252286, 3.71436e-07
8200, 1.79053, 25.7327, 0.00478372, 0.00124784, 4.51859e-05, 0.0025149, 3.70592e-07
8220, 1.79489, 25.7944, 0.00477074, 0.00124418, 4.50461e-05, 0.00250698, 3.69751e-07
8240, 1.79926, 25.8517, 0.00475783, 0.00124054, 4.49094e-05, 0.0024991, 3.68914e-07
8260, 1.80363, 25.9059, 0.00474499, 0.00123691, 4.47755e-05, 0.00249125, 3.68089e-07
8280, 1.808, 25.9699, 0.00473222, 0.00123331, 4.4643e-05, 0.00248345, 3.67277e-07
8300, 1.81236, 26.0392, 0.00471951, 0.00122972, 4.45065e-05, 0.00247569, 3.66475e-07
8320, 1.81673, 26.1107, 0.00470688, 0.00122615, 4.4366e-05, 0.00246797, 3.65677e-07
8340, 1.8211, 26.1776, 0.00469432, 0.0012226, 4.42295e-05, 0.0024603, 3.64882e-07
8360, 1.82546, 26.2442, 0.00468181, 0.00121907, 4.40909e-05, 0.00245267, 3.64089e-07
8380, 1.82983, 26.3127, 0.00466937, 0.00121556, 4.39544e-05, 0.00244508, 3.63297e-07
8400, 1.8342, 26.3818, 0.00465701, 0.00121206, 4.38259e-05, 0.00243753, 3.62508e-07
8420, 1.83857, 26.448, 0.0046447, 0.00120858, 4.36927e-05, 0.00243003, 3.61712e-07
8440, 1.84293, 26.5145, 0.00463245, 0.00120511, 4.35594e-05, 0.00242256, 3.60907e-07
8460, 1.8473, 26.5809, 0.00462027, 0.00120167, 4.34332e-05, 0.00241513, 3.60101e-07
8480, 1.85167, 26.6457, 0.00460815, 0.00119824, 4.33049e-05, 0.00240774, 3.59293e-07
8500, 1.85604, 26.7123, 0.00459606, 0.00119483, 4.31734e-05, 0.00240037, 3.58483e-07
8520, 1.8604, 26.7787, 0.00458406, 0.00119143, 4.30418e-05, 0.00239304, 3.57674e-07
8540, 1.86477, 26.8445, 0.00457212, 0.00118805, 4.29088e-05, 0.00238576, 3.56866e-07
8560, 1.86914, 26.9096, 0.00456023, 0.00118469, 4.27781e-05, 0.0023785, 3.56059e-07
8580, 1.87351, 26.9726, 0.0045484, 0.00118134, 4.26464e-05, 0.00237128, 3.55254e-07
8600, 1.87787, 27.0379, 0.00453663, 0.00117801, 4.25167e-05, 0.0023641, 3.54454e-07
8620, 1.88224, 27.1038, 0.00452492, 0.0011747, 4.23902e-05, 0.00235695, 3.5366e-07
8640, 1.88661, 27.1704, 0.00451324, 0.0011714, 4.22626e-05, 0.00234983, 3.52868e-07
8660, 1.89097, 27.2327, 0.00450162, 0.00116812, 4.21395e-05, 0.00234274, 3.52085e-07
8680, 1.89534, 27.3005, 0.00449005, 0.00116485, 4.20202e-05, 0.0023357, 3.51318e-07
8700, 1.89971, 27.3607, 0.00447853, 0.0011616, 4.18976e-05, 0.00232869, 3.50561e-07
8720, 1.90408, 27.4199, 0.00446709, 0.00115836, 4.17761e-05, 0.00232173, 3.49809e-07
8740, 1.90844, 27.484, 0.00445571, 0.00115514, 4.16577e-05, 0.00231482, 3.49061e-07
8760, 1.91281, 27.5489, 0.00444438, 0.00115194, 4.15347e-05, 0.00230793, 3.48314e-07
8780, 1.91718, 27.6144, 0.00443311, 0.00114875, 4.14087e-05, 0.00230107, 3.47564e-07
8800, 1.92155, 27.6754, 0.00442189, 0.00114558, 4.12864e-05, 0.00229425, 3.46811e-07
8820, 1.92591, 27.74, 0.00441072, 0.00114242, 4.11679e-05, 0.00228745, 3.46062e-07
8840, 1.93028, 27.8021, 0.00439959, 0.00113927, 4.10474e-05, 0.00228067, 3.45316e-07
8860, 1.93465, 27.8686, 0.00438852, 0.00113615, 4.09254e-05, 0.00227393, 3.44569e-07
8880, 1.93902, 27.9347, 0.0043775, 0.00113303, 4.08092e-05, 0.00226723, 3.43825e-07
8900, 1.94338, 28.0014, 0.00436654, 0.00112993, 4.06949e-05, 0.00226056, 3.43087e-07
8920, 1.94775, 28.0669, 0.00435563, 0.00112685, 4.05766e-05, 0.00225393, 3.4235e-07
8940, 1.95212, 28.1322, 0.00434479, 0.00112378, 4.04622e-05, 0.00224734, 3.41617e-07
8960, 1.95649, 28.2017, 0.004334, 0.00112072, 4.03499e-05, 0.00224078, 3.40888e-07
8980, 1.96085, 28.2633, 0.00432324, 0.00111768, 4.02313e-05, 0.00223424, 3.40159e-07
9000, 1.96522, 28.3248, 0.00431254, 0.00111465, 4.01167e-05, 0.00222774, 3.39433e-07
9020, 1.96959, 28.3928, 0.00430188, 0.00111163, 4.00045e-05, 0.00222126, 3.38715e-07
9040, 1.97396, 28.4522, 0.00429128, 0.00110863, 3.98884e-05, 0.00221482, 3.38002e-07
9060, 1.97832, 28.5066, 0.00428073, 0.00110565, 3.97742e-05, 0.00220841, 3.37294e-07
9080, 1.98269, 28.5721, 0.00427024, 0.00110268, 3.96628e-05, 0.00220204, 3.36589e-07
9100, 1.98706, 28.6347, 0.00425979, 0.00109972, 3.95493e-05, 0.00219569, 3.35888e-07
9120, 1.99142, 28.6835, 0.00424939, 0.00109677, 3.9437e-05, 0.00218938, 3.3519e-07
9140, 1.99579, 28.7406, 0.00423905, 0.00109384, 3.93262e-05, 0.00218309, 3.34495e-07
9160, 2.00016, 28.7898, 0.00422875, 0.00109092, 3.92161e-05, 0.00217683, 3.33803e-07
9180, 2.00453, 28.8456, 0.00421849, 0.00108802, 3.91079e-05, 0.0021706, 3.33114e-07
9200, 2.00889, 28.9103, 0.0042083, 0.00108513, 3.9001e-05, 0.00216441, 3.32424e-07
9220, 2.01326, 28.9744, 0.00419813, 0.00108225, 3.8893e-05, 0.00215824, 3.31729e-07
9240, 2.01763, 29.0402, 0.00418802, 0.00107938, 3.87871e-05, 0.0021521, 3.31034e-07
9260, 2.022, 29.1068, 0.00417795, 0.00107653, 3.86827e-05, 0.00214599, 3.30342e-07
9280, 2.02636, 29.174, 0.00416793, 0.00107369, 3.85775e-05, 0.00213991, 3.29652e-07
9300, 2.03073, 29.2441, 0.00415795, 0.00107086, 3.84709e-05, 0.00213385, 3.28965e-07
9320, 2.0351, 29.3062, 0.00414801, 0.00106805, 3.83638e-05, 0.00212782, 3.28281e-07
9340, 2.03947, 29.362, 0.00413813, 0.00106525, 3.82562e-05, 0.00212181, 3.27602e-07
9360, 2.04383, 29.4268, 0.00412829, 0.00106246, 3.81484e-05, 0.00211584, 3.26925e-07
9380, 2.0482, 29.489, 0.0041185, 0.00105968, 3.80421e-05, 0.00210989, 3.26249e-07
9400, 2.05257, 29.5516, 0.00410876, 0.00105692, 3.79378e-05, 0.00210398, 3.25577e-07
9420, 2.05694, 29.612, 0.00409906, 0.00105416, 3.78331e-05, 0.0020981, 3.24905e-07
9440, 2.0613, 29.6614, 0.00408939, 0.00105142, 3.773e-05, 0.00209224, 3.24234e-07
9460, 2.06567, 29.7258, 0.00407978, 0.0010487, 3.76312e-05, 0.00208641, 3.23569e-07
9480, 2.07004, 29.7913, 0.0040702, 0.00104598, 3.75319e-05, 0.00208061, 3.2291e-07
9500, 2.07441, 29.8555, 0.00406066, 0.00104328, 3.74296e-05, 0.00207483, 3.22256e-07
9520, 2.07877, 29.9216, 0.00405117, 0.00104059, 3.73295e-05, 0.00206908, 3.21605e-07
9540, 2.08314, 29.9836, 0.00404172, 0.00103791, 3.72295e-05, 0.00206335, 3.2096e-07
9560, 2.08751, 30.0482, 0.00403232, 0.00103524, 3.71255e-05, 0.00205764, 3.2032e-07
9580, 2.09188, 30.1148, 0.00402295, 0.00103258, 3.70227e-05, 0.00205197, 3.19683e-07
9600, 2.09624, 30.1789, 0.00401364, 0.00102994, 3.69227e-05, 0.00204632, 3.19049e-07
9620, 2.10061, 30.2441, 0.00400435, 0.0010273, 3.68225e-05, 0.00204069, 3.18419e-07
9640, 2.10498, 30.3076, 0.00399511, 0.00102468, 3.67244e-05, 0.00203509, 3.17793e-07
9660, 2.10934, 30.3714, 0.00398592, 0.00102207, 3.66295e-05, 0.00202951, 3.17172e-07
9680, 2.11371, 30.4363, 0.00397676, 0.00101947, 3.65359e-05, 0.00202397, 3.16558e-07
9700, 2.11808, 30.4964, 0.00396763, 0.00101688, 3.64414e-05, 0.00201844, 3.15949e-07
9720, 2.12245, 30.5587, 0.00395855, 0.00101431, 3.63462e-05, 0.00201295, 3.15343e-07
9740, 2.12681, 30.624, 0.00394952, 0.00101174, 3.62506e-05, 0.00200748, 3.14739e-07
9760, 2.13118, 30.6894, 0.00394053, 0.00100919, 3.61554e-05, 0.00200204, 3.14133e-07
9780, 2.13555, 30.7544, 0.00393156, 0.00100664, 3.60591e-05, 0.00199662, 3.13526e-07
9800, 2.13992, 30.8173, 0.00392263, 0.00100411, 3.59624e-05, 0.00199122, 3.12916e-07
9820, 2.14428, 30.8772, 0.00391376, 0.00100159, 3.58666e-05, 0.00198585, 3.12304e-07
9840, 2.14865, 30.9354, 0.00390491, 0.000999079, 3.57715e-05, 0.0019805, 3.1169e-07
9860, 2.15302, 30.9949, 0.0038961, 0.000996578, 3.56768e-05, 0.00197517, 3.11074e-07
9880, 2.15739, 31.0581, 0.00388733, 0.000994089, 3.55831e-05, 0.00196987, 3.10459e-07
9900, 2.16175, 31.124, 0.00387859, 0.000991609, 3.54903e-05, 0.00196459, 3.09846e-07
9920, 2.16612, 31.1791, 0.00386988, 0.000989141, 3.53989e-05, 0.00195933, 3.09234e-07
9940, 2.17049, 31.2474, 0.00386122, 0.000986682, 3.53081e-05, 0.00195409, 3.08624e-07
9960, 2.17486, 31.3162, 0.00385259, 0.000984235, 3.52169e-05, 0.00194887, 3.08017e-07
9980, 2.17922, 31.3792, 0.00384401, 0.000981797, 3.51253e-05, 0.00194368, 3.07411e-07
10000, 2.18359, 31.4405, 0.00384401, 0.000981797, 3.51253e-05, 0.00194368, 3.07411e-07
