Step, Time, RealTime, R(q[0]), R(q[1]), R(q[2]), R(q[3]), R(q[4])
1300, 0.283864, 4.01302, 0.0343612, 0.00937473, 0.000703786, 0.0220885, 0.00032161
1320, 0.288231, 4.06857, 0.0338727, 0.00923223, 0.000689434, 0.0217836, 0.000310286
1340, 0.292598, 4.12896, 0.0334638, 0.0090947, 0.000750204, 0.0214634, 0.000299413
1360, 0.296965, 4.19377, 0.0330093, 0.008961, 0.000812446, 0.0210719, 0.00028894
1380, 0.301332, 4.25712, 0.0326593, 0.0088309, 0.000771317, 0.0208671, 0.000278821
1400, 0.305699, 4.3042, 0.0322901, 0.00870403, 0.000715716, 0.0206954, 0.00026903
1420, 0.310066, 4.35395, 0.0318382, 0.00858046, 0.000673676, 0.0203828, 0.000259547
1440, 0.314433, 4.40935, 0.0311938, 0.00845967, 0.000669383, 0.0198369, 0.000250363
1460, 0.3188, 4.47398, 0.0305225, 0.00834173, 0.000632678, 0.0192692, 0.000241485
1480, 0.323167, 4.53565, 0.0298804, 0.00822661, 0.000561396, 0.0187908, 0.000232926
1500, 0.327534, 4.59652, 0.0295753, 0.00811565, 0.000474393, 0.0186766, 0.000224702
1520, 0.331901, 4.6609, 0.0293827, 0.00800827, 0.000516889, 0.0186106, 0.000216803
1540, 0.336268, 4.72196, 0.0291206, 0.00790343, 0.000591108, 0.0184402, 0.000209192
1560, 0.340635, 4.77585, 0.0289003, 0.00780112, 0.00059968, 0.018314, 0.000201836
1580, 0.345002, 4.83633, 0.0286135, 0.00770081, 0.000578219, 0.0181543, 0.000194713
1600, 0.349369, 4.89856, 0.0282966, 0.00760283, 0.000573937, 0.017927, 0.000187812
1620, 0.353736, 4.9527, 0.0277755, 0.00750637, 0.000579191, 0.0174855, 0.000181119
1640, 0.358104, 5.01575, 0.0271656, 0.0074118, 0.000592803, 0.0169647, 0.000174644
1660, 0.362471, 5.0773, 0.0267701, 0.00732022, 0.000565301, 0.0166784, 0.000168409
1680, 0.366838, 5.14067, 0.0264568, 0.00723107, 0.000498164, 0.0165018, 0.00016241
1700, 0.371205, 5.20013, 0.0261758, 0.00714421, 0.000459404, 0.0163362, 0.000156635
1720, 0.375572, 5.24715, 0.0259622, 0.0070596, 0.000451981, 0.016222, 0.000151074
1740, 0.379939, 5.30314, 0.0257541, 0.00697676, 0.000459459, 0.0161193, 0.000145708
1760, 0.384306, 5.35214, 0.0255033, 0.00689534, 0.000448476, 0.0159854, 0.000140516
1780, 0.388673, 5.41495, 0.0252047, 0.00681545, 0.000452013, 0.0157862, 0.000135491
1800, 0.39304, 5.46707, 0.0248732, 0.00673719, 0.000462442, 0.0155224, 0.000130632
1820, 0.397407, 5.52923, 0.0245119, 0.0066605, 0.000473504, 0.0152189, 0.000125938
1840, 0.401774, 5.59276, 0.0241828, 0.0065855, 0.000476085, 0.0149583, 0.000121409
1860, 0.406141, 5.64194, 0.0239115, 0.00651227, 0.000457545, 0.0147792, 0.000117044
1880, 0.410508, 5.72245, 0.0237039, 0.00644089, 0.000435155, 0.0146594, 0.000112838
1900, 0.414875, 5.78468, 0.023469, 0.00637093, 0.000414577, 0.014516, 0.000108778
1920, 0.419242, 5.84018, 0.0232205, 0.00630231, 0.000396143, 0.0143633, 0.000104859
1940, 0.423609, 5.90075, 0.022984, 0.00623504, 0.000373397, 0.0142247, 0.000101075
1960, 0.427976, 5.95932, 0.0227299, 0.00616893, 0.000353323, 0.014072, 9.7425e-05
1980, 0.432343, 6.0253, 0.0224911, 0.00610415, 0.000356881, 0.0139177, 9.39074e-05
2000, 0.43671, 6.08967, 0.0222542, 0.00604062, 0.000374023, 0.0137491, 9.05183e-05
2020, 0.441077, 6.15397, 0.0220205, 0.00597829, 0.000373658, 0.0135804, 8.72501e-05
2040, 0.445444, 6.22145, 0.0218094, 0.00591722, 0.000362597, 0.013431, 8.4096e-05
2060, 0.449811, 6.2894, 0.0215994, 0.00585733, 0.000351605, 0.0132831, 8.1048e-05
2080, 0.454178, 6.35376, 0.0213622, 0.00579846, 0.000343567, 0.013112, 7.80991e-05
2100, 0.458545, 6.4134, 0.0211145, 0.00574065, 0.000334299, 0.0129342, 7.52477e-05
2120, 0.462912, 6.4767, 0.0208699, 0.00568391, 0.000317453, 0.0127691, 7.24953e-05
2140, 0.467279, 6.54337, 0.0206489, 0.00562827, 0.000300441, 0.0126331, 6.98443e-05
2160, 0.471646, 6.6068, 0.020466, 0.00557379, 0.000290592, 0.0125301, 6.72957e-05
2180, 0.476013, 6.66948, 0.020301, 0.00552034, 0.000289194, 0.0124376, 6.48464e-05
2200, 0.48038, 6.7354, 0.0201531, 0.00546788, 0.000286933, 0.0123564, 6.24909e-05
2220, 0.484747, 6.80194, 0.0200067, 0.00541631, 0.00028484, 0.0122709, 6.02203e-05
2240, 0.489114, 6.86217, 0.0198328, 0.00536548, 0.000281419, 0.0121532, 5.80254e-05
2260, 0.493481, 6.92352, 0.0196271, 0.00531541, 0.000278816, 0.0119992, 5.59013e-05
2280, 0.497848, 6.98999, 0.0193967, 0.00526608, 0.000277498, 0.0118214, 5.38467e-05
2300, 0.502215, 7.05527, 0.0191654, 0.00521759, 0.000272113, 0.0116485, 5.18625e-05
2320, 0.506582, 7.11883, 0.0189547, 0.00517, 0.000261931, 0.0115021, 4.995e-05
2340, 0.510949, 7.18771, 0.0187741, 0.00512336, 0.000252833, 0.0113878, 4.811e-05
2360, 0.515316, 7.24538, 0.018624, 0.00507762, 0.000246731, 0.0113026, 4.63406e-05
2380, 0.519683, 7.30043, 0.0184922, 0.00503269, 0.000240386, 0.0112347, 4.46383e-05
2400, 0.52405, 7.36566, 0.0183627, 0.00498847, 0.000233874, 0.0111682, 4.29991e-05
2420, 0.528417, 7.41993, 0.0182269, 0.0049449, 0.000230483, 0.01109, 4.14195e-05
2440, 0.532784, 7.47796, 0.0180752, 0.00490194, 0.000230658, 0.0109891, 3.98962e-05
2460, 0.537151, 7.53983, 0.0179079, 0.00485959, 0.000230986, 0.0108682, 3.84271e-05
2480, 0.541518, 7.60549, 0.0177394, 0.0048179, 0.000228912, 0.0107448, 3.70109e-05
2500, 0.545885, 7.67071, 0.0175747, 0.00477687, 0.000223453, 0.0106274, 3.56456e-05
2520, 0.550252, 7.73574, 0.0174166, 0.00473653, 0.000218357, 0.0105191, 3.43285e-05
2540, 0.554619, 7.79807, 0.0172644, 0.00469684, 0.000215219, 0.0104184, 3.30575e-05
2560, 0.558986, 7.8447, 0.0171118, 0.00465776, 0.000211358, 0.0103205, 3.18308e-05
2580, 0.563353, 7.89926, 0.0169628, 0.00461928, 0.00020652, 0.0102278, 3.06481e-05
2600, 0.56772, 7.95459, 0.0168207, 0.0045814, 0.000202806, 0.0101418, 2.95098e-05
2620, 0.572087, 8.01321, 0.0166868, 0.0045441, 0.000200266, 0.0100608, 2.84158e-05
2640, 0.576454, 8.07728, 0.0165641, 0.00450739, 0.000196405, 0.00998631, 2.73656e-05
2660, 0.580821, 8.14126, 0.0164489, 0.00447123, 0.000192545, 0.00991528, 2.63569e-05
2680, 0.585188, 8.20248, 0.0163346, 0.0044356, 0.000190547, 0.00984154, 2.53863e-05
2700, 0.589555, 8.26269, 0.0162147, 0.00440046, 0.000188605, 0.00976016, 2.44499e-05
2720, 0.593922, 8.32602, 0.0160837, 0.00436577, 0.000186408, 0.00966886, 2.35445e-05
2740, 0.598289, 8.39176, 0.015942, 0.00433154, 0.000185183, 0.00957005, 2.26687e-05
2760, 0.602656, 8.44528, 0.0157984, 0.00429779, 0.00018406, 0.00947137, 2.18226e-05
2780, 0.607023, 8.51031, 0.0156584, 0.00426454, 0.000182171, 0.00937863, 2.10068e-05
2800, 0.611391, 8.5739, 0.0155296, 0.0042318, 0.000179841, 0.00929755, 2.02226e-05
2820, 0.615758, 8.63981, 0.0154158, 0.00419958, 0.000177361, 0.00922974, 1.94702e-05
2840, 0.620125, 8.70133, 0.0153127, 0.00416784, 0.000174318, 0.00917025, 1.87487e-05
2860, 0.624492, 8.76449, 0.0152149, 0.00413655, 0.000171238, 0.00911316, 1.80561e-05
2880, 0.628859, 8.82403, 0.015116, 0.00410566, 0.000168175, 0.00905227, 1.73898e-05
2900, 0.633226, 8.88863, 0.01501, 0.00407516, 0.000165256, 0.00898298, 1.67472e-05
2920, 0.637593, 8.95397, 0.0148968, 0.00404503, 0.000163208, 0.00890589, 1.61264e-05
2940, 0.64196, 9.01689, 0.0147777, 0.00401528, 0.000161732, 0.00882358, 1.55266e-05
2960, 0.646327, 9.07799, 0.0146588, 0.00398593, 0.000160514, 0.00874202, 1.49476e-05
