Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,arc_length,p,rank,rho,rhoe,rhou,rhov,vtkValidPointMask
833,0.8000000119,0.0624750033,0,0.8024357557,0.2062546909,0.001292793313,0,0.206258744,0.0624750033,1.000283837,4,1.400282741,2.53049469,0.2888146043,0.001810454996,1
834,0.8000000119,0.06255000085,0,0.802441597,0.2062530369,0.001292330795,0,0.20625709,0.06255000085,1.000283837,4,1.400282741,2.530494452,0.2888122797,0.001809810288,1
835,0.8000000119,0.06262500584,0,0.8024474382,0.2062513828,0.001291868277,0,0.2062554359,0.06262500584,1.000283837,4,1.40028286,2.530493975,0.2888099849,0.00180916558,1
836,0.8000000119,0.06270000339,0,0.8024532795,0.2062497288,0.001291405875,0,0.206253767,0.06270000339,1.000283837,4,1.40028286,2.530493736,0.2888076901,0.001808520872,1
837,0.8000000119,0.06277500093,0,0.8024591804,0.2062480748,0.001290943357,0,0.206252113,0.06277500093,1.000283957,4,1.40028286,2.530493259,0.2888053656,0.001807876164,1
838,0.8000000119,0.06285000592,0,0.8024650216,0.2062464207,0.001290480839,0,0.206250459,0.06285000592,1.000283957,4,1.400282979,2.530492783,0.2888030708,0.001807231456,1
839,0.8000000119,0.06292500347,0,0.8024709225,0.2062447667,0.001290018321,0,0.2062488049,0.06292500347,1.000283957,4,1.400282979,2.530492544,0.2888007462,0.001806586748,1
840,0.8000000119,0.06300000101,0,0.8024768233,0.2062431276,0.001289555919,0,0.2062471658,0.06300000101,1.000284076,4,1.400282979,2.530492067,0.2887984514,0.00180594204,1
841,0.8000000119,0.06307500601,0,0.8024827242,0.2062414736,0.001289093401,0,0.2062454969,0.06307500601,1.000284076,4,1.400283098,2.53049159,0.2887961268,0.001805297332,1
842,0.8000000119,0.06315000355,0,0.8024885654,0.2062398195,0.001288630883,0,0.2062438428,0.06315000355,1.000284076,4,1.400283098,2.530491352,0.2887938321,0.001804652624,1
843,0.8000000119,0.0632250011,0,0.8024945259,0.2062381655,0.001288168365,0,0.2062421888,0.0632250011,1.000284076,4,1.400283098,2.530490875,0.2887915373,0.001804007916,1
844,0.8000000119,0.06330000609,0,0.8025004268,0.2062365115,0.001287705847,0,0.2062405348,0.06330000609,1.000284195,4,1.400283098,2.530490398,0.2887892127,0.001803363208,1
845,0.8000000119,0.06337500364,0,0.8025063276,0.2062348574,0.001287243445,0,0.2062388808,0.06337500364,1.000284195,4,1.400283217,2.53049016,0.2887869179,0.0018027185,1
846,0.8000000119,0.06345000118,0,0.8025122285,0.2062332034,0.001286780927,0,0.2062372118,0.06345000118,1.000284195,4,1.400283217,2.530489683,0.2887845933,0.001802073792,1
847,0.8000000119,0.06352500618,0,0.802518189,0.2062315494,0.001286318409,0,0.2062355578,0.06352500618,1.000284314,4,1.400283217,2.530489206,0.2887822986,0.001801429084,1
